,Prediction,Actual
6306,960095.491409711,1450000.0
20782,231298.6106544457,269800.0
1215,171938.60805691726,234000.0
1911,411228.0437974811,316500.0
17615,767794.1173711632,990000.0
21041,348632.9092688017,391000.0
7356,437700.8831973679,663500.0
15303,511991.7555628824,564000.0
8466,508475.82710628514,898000.0
10205,455641.3905431224,260000.0
9905,468654.343948749,530000.0
10048,400470.53791174304,219000.0
8757,292385.4462604723,275000.0
12634,379185.27605119476,335500.0
17195,547306.3053554372,520000.0
11685,723989.969375473,957000.0
11315,310197.3141543943,315000.0
21152,929382.5618486254,999000.0
9682,564899.7095141141,365000.0
15846,582253.9251879941,509000.0
9671,423676.1188983036,405000.0
14190,413827.0272084924,280000.0
17092,1142501.1237802915,1454000.0
11114,311767.59454289125,577000.0
13468,426087.4517535878,260000.0
6750,1143308.6518834215,890000.0
20503,441588.5746419077,293000.0
16680,507608.8184808355,546200.0
5566,461029.3579540183,575000.0
6223,448466.3216369427,625000.0
408,731630.0925663946,577500.0
16472,233207.40459653432,256000.0
3437,786869.7190631396,805000.0
14628,578220.9473912916,530000.0
1580,793410.0634249864,900000.0
4743,920629.3256426301,660000.0
247,312462.2347413987,250000.0
10059,249625.3817458395,245000.0
4101,888926.8018056365,700000.0
18224,474046.23703596403,718500.0
5421,386351.62323199515,352500.0
4824,614919.2140524783,596000.0
18835,589999.9804835615,400000.0
11734,1354964.631066224,1600000.0
6880,183716.7198039883,315000.0
5438,1076899.4787905323,864000.0
2119,289473.5737319725,251700.0
9748,569797.6097366923,670000.0
7363,352062.4313450648,485000.0
15260,808867.921675946,861000.0
3533,464556.05464974814,480000.0
3507,382229.5555347435,205000.0
14442,1272977.2586796512,895000.0
5843,413668.070480507,420000.0
3979,1767979.908910025,2400000.0
20379,314235.33019213483,298450.0
12973,269717.4927561005,452000.0
5059,722194.5945121258,833000.0
210,357000.4452953512,625504.0
2930,809078.2162858612,590000.0
856,294519.1879231039,280000.0
19130,190617.58593972627,174900.0
16655,1378717.7191886907,1650000.0
5999,438825.43272343103,510000.0
20135,469830.78270400024,525000.0
19393,1400923.1000550524,1360000.0
8670,418135.6595846707,305100.0
8481,527068.0146246285,409000.0
19413,370506.12687825074,555000.0
10440,538215.446369383,545000.0
19767,342659.95690915536,320000.0
2734,383523.51193719706,400000.0
5023,617943.9596283574,370000.0
17616,329563.7630043902,382000.0
18084,449127.2353420103,270000.0
13241,684934.8169599058,530000.0
19449,1047951.9449720009,850000.0
20606,649494.9392561364,760000.0
7608,227502.07845599158,219950.0
14408,172079.0948991066,156000.0
14747,822987.4621294338,915000.0
13544,578494.4280624475,612000.0
7827,295572.80837625964,425000.0
16924,847887.9236473773,750000.0
13317,452622.4915670055,481000.0
