,Prediction,Actual
6306,1319851.6,1450000.0
20782,289647.9,269800.0
1215,226529.99,234000.0
1911,343839.55,316500.0
17615,897471.24,990000.0
21041,390567.4,391000.0
7356,515983.53,663500.0
15303,581847.5,564000.0
8466,773605.5,898000.0
10205,349868.5,260000.0
9905,560658.7,530000.0
10048,296665.9,219000.0
8757,266864.83,275000.0
12634,394536.0,335500.0
17195,593638.06,520000.0
11685,717448.46,957000.0
11315,294624.5,315000.0
21152,928434.12,999000.0
9682,438239.5,365000.0
15846,610825.48,509000.0
9671,473103.38,405000.0
14190,411471.1,280000.0
17092,1180168.75,1454000.0
11114,495206.5,577000.0
13468,332785.6,260000.0
6750,1003681.95,890000.0
20503,305039.25,293000.0
16680,546746.02,546200.0
5566,474708.1,575000.0
6223,496556.0,625000.0
408,739611.34,577500.0
16472,198242.6,256000.0
3437,571458.71,805000.0
14628,532213.18,530000.0
1580,1086286.8,900000.0
4743,836853.02,660000.0
247,281946.06,250000.0
10059,242883.0,245000.0
4101,707023.17,700000.0
18224,603955.0,718500.0
5421,362486.4,352500.0
4824,664509.0,596000.0
18835,442503.56,400000.0
11734,1443692.3,1600000.0
6880,298908.19,315000.0
5438,873905.0,864000.0
2119,296782.7,251700.0
9748,701487.01,670000.0
7363,428256.18,485000.0
15260,802407.27,861000.0
3533,486366.4,480000.0
3507,276498.55,205000.0
14442,1384095.22,895000.0
5843,477378.29,420000.0
3979,1529593.9,2400000.0
20379,286218.66,298450.0
12973,366421.71,452000.0
5059,765250.56,833000.0
210,558881.5,625504.0
2930,550929.5,590000.0
856,303476.88,280000.0
19130,279908.5,174900.0
16655,1490050.1,1650000.0
5999,498827.0,510000.0
20135,525878.78,525000.0
19393,1243327.7,1360000.0
8670,383814.26,305100.0
8481,426340.25,409000.0
19413,537419.5,555000.0
10440,586872.26,545000.0
19767,309381.69,320000.0
2734,449099.89,400000.0
5023,404400.75,370000.0
17616,296595.0,382000.0
18084,260491.58,270000.0
13241,473959.5,530000.0
19449,761569.43,850000.0
20606,715200.36,760000.0
7608,256920.5,219950.0
14408,192707.7,156000.0
14747,790581.5,915000.0
13544,567080.02,612000.0
7827,452903.05,425000.0
16924,788392.32,750000.0
13317,462611.28,481000.0
12288,341276.9,359500.0
15753,327719.0,300000.0
12281,263925.7,335000.0
13572,393391.95,300000.0
20828,434762.77,409316.0
12667,182467.5,199950.0
11890,231353.65,185000.0
503,571630.35,615000.0
14066,202507.7,199950.0
16849,406389.65,420000.0
20968,846342.44,864327.0
20994,281243.18,235245.0
5916,182521.88,255000.0
