,Prediction,Actual
6306,1563100.0,1450000.0
20782,280000.0,269800.0
1215,210000.0,234000.0
1911,406000.0,316500.0
17615,864000.0,990000.0
21041,440000.0,391000.0
7356,553000.0,663500.0
15303,620000.0,564000.0
8466,888000.0,898000.0
10205,325000.0,260000.0
9905,515000.0,530000.0
10048,363000.0,219000.0
8757,305000.0,275000.0
12634,334000.0,335500.0
17195,535500.0,520000.0
11685,605000.0,957000.0
11315,300000.0,315000.0
21152,830000.0,999000.0
9682,429950.0,365000.0
15846,575000.0,509000.0
9671,468000.0,405000.0
14190,375000.0,280000.0
17092,1088000.0,1454000.0
11114,475000.0,577000.0
13468,320000.0,260000.0
6750,925000.0,890000.0
20503,278000.0,293000.0
16680,542500.0,546200.0
5566,450000.0,575000.0
6223,527500.0,625000.0
408,836500.0,577500.0
16472,150000.0,256000.0
3437,598000.0,805000.0
14628,488000.0,530000.0
1580,1200000.0,900000.0
4743,933399.0,660000.0
247,260000.0,250000.0
10059,239950.0,245000.0
4101,645500.0,700000.0
18224,600000.0,718500.0
5421,304000.0,352500.0
4824,668500.0,596000.0
18835,435000.0,400000.0
11734,1415000.0,1600000.0
6880,332000.0,315000.0
5438,883000.0,864000.0
2119,300000.0,251700.0
9748,775000.0,670000.0
7363,435000.0,485000.0
15260,883000.0,861000.0
3533,395000.0,480000.0
3507,269950.0,205000.0
14442,1355000.0,895000.0
5843,440000.0,420000.0
3979,1600000.0,2400000.0
20379,340000.0,298450.0
12973,423000.0,452000.0
5059,615000.0,833000.0
210,594000.0,625504.0
2930,562000.0,590000.0
856,319900.0,280000.0
19130,333000.0,174900.0
16655,1274950.0,1650000.0
5999,430000.0,510000.0
20135,521000.0,525000.0
19393,1565000.0,1360000.0
8670,443950.0,305100.0
8481,465000.0,409000.0
19413,466000.0,555000.0
10440,567000.0,545000.0
19767,349500.0,320000.0
2734,320000.0,400000.0
5023,344950.0,370000.0
17616,325000.0,382000.0
18084,240000.0,270000.0
13241,376500.0,530000.0
19449,589500.0,850000.0
20606,765000.0,760000.0
7608,345000.0,219950.0
14408,229000.0,156000.0
14747,820000.0,915000.0
13544,649800.0,612000.0
7827,455000.0,425000.0
16924,815000.0,750000.0
13317,418000.0,481000.0
12288,360000.0,359500.0
15753,330000.0,300000.0
12281,330000.0,335000.0
13572,370000.0,300000.0
20828,414000.0,409316.0
12667,155000.0,199950.0
11890,210000.0,185000.0
503,525000.0,615000.0
14066,205000.0,199950.0
16849,440000.0,420000.0
20968,852880.0,864327.0
20994,272000.0,235245.0
5916,130000.0,255000.0
5244,315275.0,460000.0
8931,575000.0,680000.0
14020,400000.0,645000.0
6061,1636000.0,1240000.0
5865,374950.0,390000.0
10943,1170000.0,1130000.0
1427,453500.0,459000.0
6418,235000.0,260000.0
17238,115000.0,145000.0
10022,264950.0,255000.0
12669,430000.0,449950.0
11825,478000.0,498500.0
3106,658600.0,640000.0
9790,347000.0,311000.0
12487,522500.0,495500.0
12399,210000.0,225205.0
8753,350000.0,357000.0
10675,300000.0,210000.0
15461,278500.0,275000.0
2270,430000.0,517100.0
8256,655000.0,689000.0
5754,383001.0,350000.0
12340,195000.0,305000.0
9994,961500.0,965000.0
5784,970000.0,970000.0
2885,420000.0,476000.0
13268,286000.0,260000.0
14224,255000.0,319500.0
20904,417000.0,300000.0
12578,525000.0,689000.0
17580,350000.0,290000.0
2458,653000.0,340000.0
3806,539950.0,348000.0
10994,875000.0,910000.0
17169,1388000.0,1629000.0
21391,716000.0,690000.0
5841,425000.0,513000.0
7451,350000.0,290000.0
1729,825000.0,780000.0
9634,550000.0,489000.0
2683,460000.0,485000.0
971,210000.0,427200.0
19484,183750.0,369950.0
5042,324000.0,300000.0
4610,305000.0,289950.0
11807,890000.0,902500.0
11091,538000.0,341000.0
7153,569999.0,615000.0
20104,268500.0,308000.0
16581,206000.0,209950.0
21149,499000.0,659000.0
12187,353000.0,345000.0
8223,429000.0,382000.0
16630,609900.0,589950.0
9645,196500.0,215000.0
18162,254000.0,255000.0
4974,429300.0,455000.0
14470,340768.0,246000.0
18244,1010000.0,822500.0
13751,359900.0,306000.0
12840,276200.0,269000.0
18693,790000.0,680000.0
11491,249000.0,355000.0
21187,585000.0,410000.0
16804,652100.0,645000.0
18217,190000.0,200000.0
15537,659950.0,1075000.0
15399,95000.0,135000.0
9109,378000.0,305000.0
9545,673000.0,765000.0
21372,820000.0,1057000.0
3617,235000.0,267000.0
12292,210000.0,253500.0
1862,914600.0,832000.0
16668,514000.0,607500.0
7231,405000.0,390000.0
12107,238000.0,269500.0
18186,459000.0,570000.0
4307,310000.0,370000.0
11307,526000.0,387500.0
12621,286000.0,335000.0
16728,615000.0,469000.0
3310,280000.0,299000.0
2043,315000.0,272500.0
2214,465000.0,600000.0
8644,465000.0,427550.0
3351,1200000.0,970000.0
6428,519000.0,525000.0
9442,505000.0,490000.0
3023,297500.0,272000.0
563,445000.0,610000.0
12507,450000.0,669888.0
14189,210000.0,167000.0
10792,280000.0,210750.0
17618,880000.0,900000.0
6293,360000.0,490000.0
1297,458950.0,533000.0
20741,521500.0,575000.0
14313,352000.0,260000.0
6275,375000.0,376000.0
3638,364000.0,397000.0
7157,350500.0,369000.0
19647,457000.0,419354.0
3261,400000.0,700000.0
17762,400000.0,420000.0
8366,345000.0,290000.0
12776,387000.0,400000.0
2195,270000.0,398000.0
7513,320000.0,320000.0
13601,264950.0,275000.0
8882,675000.0,684000.0
11010,1295650.0,1820000.0
44,175000.0,309000.0
7198,759000.0,659500.0
12514,600000.0,630000.0
2425,152500.0,143000.0
10624,310000.0,392000.0
13814,305000.0,348000.0
20835,614000.0,515000.0
4461,415000.0,444900.0
18915,735000.0,850000.0
10428,163250.0,150000.0
14204,525000.0,537100.0
4772,653750.0,567000.0
4903,572000.0,635000.0
5910,722000.0,731000.0
12346,1955000.0,1900000.0
7317,370000.0,250000.0
20920,419950.0,431000.0
14564,300000.0,282000.0
13177,235000.0,162000.0
5792,210000.0,245000.0
11165,237000.0,245700.0
5642,515000.0,510000.0
19333,344900.0,246000.0
9097,625000.0,505000.0
3043,224950.0,255000.0
10247,1335000.0,680000.0
9504,676500.0,563250.0
17116,619000.0,625000.0
18573,272000.0,325000.0
1288,555000.0,588000.0
5915,825000.0,796000.0
14670,262500.0,210000.0
1504,411715.0,500000.0
9150,599380.0,529000.0
5885,400000.0,377500.0
2351,642000.0,674750.0
19041,327000.0,390000.0
5673,400000.0,405000.0
5923,332100.0,325900.0
1114,1385000.0,1200000.0
